19890.219217   0.520394
19765.247550   0.523407
19877.497455   0.520701
19746.447511   0.523861
20118.121684   0.514899
19638.279281   0.526469
19742.271272   0.523961
19906.526765   0.520001
19642.789034   0.526360
19830.123671   0.521843
19661.033469   0.525920
19867.622223   0.520939
19783.287089   0.522972
19706.621780   0.524821
19650.381034   0.526177
19513.215063   0.529485
19509.599379   0.529572
19496.525595   0.529887
19808.768991   0.522358
19923.031471   0.519603
19807.704482   0.522384
19838.641117   0.521638
19669.008895   0.525728
20130.200230   0.514607
19451.799298   0.530965
19999.798733   0.517752
19867.443457   0.520943
20061.020910   0.516276
19970.632308   0.518455
19858.987277   0.521147
20230.123710   0.512198
20122.024935   0.514805
19816.771871   0.522165
20234.307793   0.512097
20121.234521   0.514824
20068.940981   0.516085
19928.754799   0.519465
19681.311812   0.525431
19648.692934   0.526218
19560.136337   0.528353
19839.876315   0.521608
19994.105327   0.517889
19577.601233   0.527932
19942.877812   0.519124
19666.016236   0.525800
19954.142508   0.518853
19680.539176   0.525450
19912.195306   0.519864
19849.715449   0.521371
19732.453099   0.524198
20125.042661   0.514732
19553.122094   0.528522
19998.388050   0.517786
19549.876734   0.528601
19657.679824   0.526001
19775.202072   0.523167
19640.203456   0.526423
19749.736467   0.523781
19878.944566   0.520666
19639.694953   0.526435
19563.955188   0.528261
19784.981034   0.522932
20239.032141   0.511983
19683.393393   0.525381
19692.912782   0.525152
20174.495401   0.513539
20043.775788   0.516691
20016.797545   0.517342
19958.369406   0.518751
20351.056449   0.509282
20127.516910   0.514672
19959.054789   0.518734
19755.316448   0.523647
19983.082072   0.518155
19692.088470   0.525171
19747.109521   0.523845
19806.078834   0.522423
19790.215145   0.522805
19814.907785   0.522210
19621.506242   0.526873
20078.289731   0.515859
19871.929637   0.520835
20034.452465   0.516916
19499.158000   0.529824
19560.239616   0.528351
19651.186647   0.526158
19771.358396   0.523260
19698.872248   0.525008
19841.017532   0.521580
19578.823205   0.527903
19554.003215   0.528501
19860.324073   0.521115
20049.165960   0.516561
19772.473641   0.523233
19597.082974   0.527462
19715.902320   0.524597
19748.364016   0.523815
20052.684639   0.516477
19753.193841   0.523698
19528.604366   0.529114
