20277.318330   0.511060   0.509464
20205.571032   0.512790   0.514017
20033.725001   0.516934   0.516827
20189.749812   0.513172   0.513032
20258.210586   0.511521   0.510907
20198.406630   0.512963   0.511632
20001.573228   0.517709   0.516945
20193.620711   0.513078   0.511633
20052.411342   0.516483   0.516441
19995.253808   0.517861   0.516061
19966.113729   0.518564   0.519234
20206.137708   0.512776   0.514057
20014.630790   0.517394   0.515063
20049.312870   0.516558   0.517193
20186.024166   0.513261   0.512442
20019.296918   0.517282   0.514671
20187.556930   0.513224   0.511363
20122.739382   0.514787   0.515674
20083.081488   0.515744   0.514619
20044.705747   0.516669   0.515965
20041.404269   0.516749   0.512720
20268.124880   0.511282   0.512394
20140.930889   0.514349   0.512312
20290.529514   0.510741   0.508856
20202.890851   0.512855   0.512230
20215.906135   0.512541   0.511261
20241.315550   0.511928   0.511434
20148.505326   0.514166   0.512190
20169.951242   0.513649   0.513398
20243.695004   0.511871   0.510729
19987.623017   0.518045   0.517887
20112.180863   0.515042   0.514190
20038.710743   0.516813   0.517083
19971.199440   0.518441   0.518993
20322.817101   0.509963   0.510704
20100.560899   0.515322   0.514368
20079.582748   0.515828   0.514842
20195.463927   0.513034   0.511764
20012.424678   0.517447   0.514827
20148.477603   0.514167   0.514300
20061.231456   0.516270   0.518427
19909.582068   0.519927   0.518612
20045.039295   0.516661   0.516010
20221.130511   0.512415   0.511212
20066.213287   0.516150   0.517283
20012.770105   0.517439   0.517443
20098.206970   0.515379   0.514347
20045.104777   0.516659   0.516017
20038.807872   0.516811   0.516110
19875.782560   0.520742   0.519723
20065.140710   0.516176   0.513620
19976.388555   0.518316   0.517087
20306.287080   0.510362   0.510612
20360.847854   0.509046   0.507276
20348.061831   0.509354   0.506972
20130.494455   0.514600   0.513410
20158.176754   0.513933   0.511703
19979.936593   0.518231   0.516798
20068.782040   0.516088   0.515793
20125.808761   0.514713   0.514513
20115.998754   0.514950   0.515314
20083.921775   0.515723   0.515574
20067.540178   0.516118   0.516106
19974.578598   0.518360   0.518843
20076.752361   0.515896   0.514339
20003.850283   0.517654   0.516542
20030.927974   0.517001   0.514656
19903.118622   0.520083   0.517519
19777.773653   0.523105   0.522119
19867.578970   0.520940   0.521674
19957.824094   0.518764   0.517767
19894.291253   0.520296   0.519113
19752.251670   0.523721   0.524229
19676.134107   0.525556   0.523967
19668.254363   0.525746   0.523652
19844.974784   0.521485   0.518045
19712.700845   0.524674   0.522395
19829.177751   0.521866   0.518409
19861.887334   0.521077   0.519536
19779.340475   0.523068   0.520995
19580.365883   0.527865   0.528143
19887.311740   0.520464   0.521877
19975.749803   0.518332   0.517731
19839.603016   0.521615   0.519249
19837.888132   0.521656   0.521475
19707.357645   0.524803   0.525155
20029.010081   0.517047   0.516096
19985.914234   0.518087   0.517870
20047.812705   0.516594   0.517066
20071.671661   0.516019   0.517189
20086.499606   0.515661   0.513907
20141.432471   0.514337   0.512834
20131.304255   0.514581   0.511632
20076.116325   0.515912   0.516109
20163.831794   0.513796   0.513203
20382.469850   0.508525   0.509834
20343.292039   0.509469   0.510053
20205.071391   0.512802   0.514037
20305.739303   0.510375   0.508480
20300.417499   0.510503   0.509068
